%include	identificateur	include
'io	identificateur	io
.asm	identificateur	asm
'section	identificateur	section
.bss	identificateur	bss
sinput	identificateur	sinput
:resb	identificateur	resb
255	nombre	255
;	symbole	POINT_VIRGULE
reserve	identificateur	reserve
a	identificateur	a
255	nombre	255
byte	identificateur	byte
space	identificateur	space
in	identificateur	in
memory	identificateur	memory
for	identificateur	for
the	identificateur	the
users	identificateur	users
input	identificateur	input
string	identificateur	string
v$tab	identificateur	v$tab
:resd	identificateur	resd
10	nombre	10
section	identificateur	section
.text	identificateur	text
global	identificateur	global
_start	identificateur	_start
_start	identificateur	_start
:call	identificateur	call
main	identificateur	main
mov	identificateur	mov
eax	identificateur	eax
,	symbole	VIRGULE
1	nombre	1
;	symbole	POINT_VIRGULE
1	nombre	1
est	identificateur	est
le	identificateur	le
code	identificateur	code
de	identificateur	de
SYS_EXIT	identificateur	SYS_EXIT
int	identificateur	int
0	nombre	0
x80	identificateur	x80
;	symbole	POINT_VIRGULE
exit	identificateur	exit
initialiser	identificateur	initialiser
:push	identificateur	push
ebp	identificateur	ebp
;	symbole	POINT_VIRGULE
sauvegarde	identificateur	sauvegarde
la	identificateur	la
valeur	identificateur	valeur
de	identificateur	de
ebp	identificateur	ebp
mov	identificateur	mov
ebp	identificateur	ebp
,	symbole	VIRGULE
esp	identificateur	esp
;	symbole	POINT_VIRGULE
nouvelle	identificateur	nouvelle
valeur	identificateur	valeur
de	identificateur	de
ebp	identificateur	ebp
push	identificateur	push
8	nombre	8
push	identificateur	push
0	nombre	0
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
6	nombre	6
push	identificateur	push
1	nombre	1
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
9	nombre	9
push	identificateur	push
2	nombre	2
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
9	nombre	9
push	identificateur	push
3	nombre	3
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
4	nombre	4
push	identificateur	push
4	nombre	4
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
2	nombre	2
push	identificateur	push
5	nombre	5
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
3	nombre	3
push	identificateur	push
6	nombre	6
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
1	nombre	1
push	identificateur	push
7	nombre	7
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
4	nombre	4
push	identificateur	push
8	nombre	8
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
push	identificateur	push
5	nombre	5
push	identificateur	push
9	nombre	9
pop	identificateur	pop
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
add	identificateur	add
eax	identificateur	eax
,	symbole	VIRGULE
eax	identificateur	eax
pop	identificateur	pop
ebx	identificateur	ebx
mov	identificateur	mov
[	symbole	CROCHET_OUVRANT
v$tab	identificateur	v$tab
+	symbole	PLUS
eax	identificateur	eax
]	symbole	CROCHET_FERMANT
,	symbole	VIRGULE
ebx	identificateur	ebx
;	symbole	POINT_VIRGULE
stocke	identificateur	stocke
registre	identificateur	registre
dans	identificateur	dans
variable	identificateur	variable
